iter	RMSE
0	9.306297515
1	9.21580425
2	9.12533741
3	9.046805853
4	8.96821819
5	8.898438591
6	8.81479703
7	8.762090798
8	8.683687727
9	8.618491334
10	8.539419964
11	8.486822402
12	8.428148864
13	8.384020819
14	8.342972216
15	8.289024716
16	8.235986159
17	8.180603523
18	8.131127119
19	8.093087148
20	8.052593873
21	8.006721596
22	7.971430834
23	7.929157099
24	7.900634096
25	7.861003776
26	7.826563928
27	7.789488461
28	7.749706084
29	7.719616281
30	7.674626622
31	7.651647678
32	7.617526004
33	7.574388178
34	7.538184566
35	7.510672056
36	7.484848616
37	7.443014706
38	7.418462339
39	7.376998707
40	7.353447121
41	7.321153483
42	7.287449358
43	7.251488693
44	7.2383362
45	7.216234343
46	7.198404554
47	7.177252198
48	7.164703518
49	7.1521049
50	7.127862402
51	7.107018264
52	7.094865795
53	7.075006396
54	7.051048719
55	7.038764118
56	7.009651127
57	6.996694598
58	6.978654187
59	6.969776604
60	6.954441817
61	6.932883026
62	6.917175292
63	6.902595892
64	6.887459389
65	6.875213925
66	6.852972446
67	6.828957383
68	6.817855354
69	6.80595976
70	6.791965865
71	6.777822093
72	6.766576643
73	6.752653775
74	6.743335111
75	6.728182951
76	6.716220956
77	6.698745275
78	6.687924223
79	6.671577812
80	6.651217
81	6.649087833
82	6.630157908
83	6.616275305
84	6.607533031
85	6.599297789
86	6.586425764
87	6.569831007
88	6.565380784
89	6.549139075
90	6.537012133
91	6.531194539
92	6.510934582
93	6.506204288
94	6.491867296
95	6.473723898
96	6.464631348
97	6.450326755
98	6.443832888
99	6.431655464
100	6.420913004
101	6.413341173
102	6.409779361
103	6.395028109
104	6.388814686
105	6.370728269
106	6.361275485
107	6.344403735
108	6.337169293
109	6.33059718
110	6.31547966
111	6.308599042
112	6.296427708
113	6.287715725
114	6.281914794
115	6.27414496
116	6.273972211
117	6.26641996
118	6.254857409
119	6.247723264
120	6.238526451
121	6.235189859
122	6.220870429
123	6.212054644
124	6.209153611
125	6.200536449
126	6.197102468
127	6.191672907
128	6.175650415
129	6.163677768
130	6.154094013
131	6.151734128
132	6.145210682
133	6.132945405
134	6.131330087
135	6.122165088
136	6.11819553
137	6.116812798
138	6.116802748
139	6.111216141
140	6.101604882
141	6.094570532
142	6.086099332
143	6.077564797
144	6.071976957
145	6.068463513
146	6.056773675
147	6.048002516
148	6.039974132
149	6.036905216
150	6.030600038
151	6.025473281
152	6.023958932
153	6.018452312
154	6.015954732
155	6.011714814
156	5.996632322
157	5.99326434
158	5.990077105
159	5.983547432
160	5.980644516
161	5.977468288
162	5.96567149
163	5.964824081
164	5.959363378
165	5.952631589
166	5.951932566
167	5.939750375
168	5.932763585
169	5.930592479
170	5.91904232
171	5.911315574
172	5.904578813
173	5.89700148
174	5.889260982
175	5.877596953
176	5.871508542
177	5.863873424
178	5.855137593
179	5.846758951
180	5.845148336
181	5.844477677
182	5.841182047
183	5.839715088
184	5.835804128
185	5.829678437
186	5.824781701
187	5.819806294
188	5.807032107
189	5.805007583
190	5.799966878
191	5.794310032
192	5.786388304
193	5.785116104
194	5.774030991
195	5.768576166
196	5.763424597
197	5.757592676
198	5.757375326
199	5.753843902
200	5.746157049
201	5.745978742
202	5.732782027
203	5.728649678
204	5.727949924
205	5.721397052
206	5.713048232
207	5.707233267
208	5.699670245
209	5.691272338
210	5.691098011
211	5.68827298
212	5.685451133
213	5.683989338
214	5.680232986
215	5.674510741
216	5.674339162
217	5.673261428
218	5.666761068
219	5.658970524
220	5.653131084
221	5.650958719
222	5.643169486
223	5.634112254
224	5.630876573
225	5.629595639
226	5.626804751
227	5.624914942
228	5.62209936
229	5.619281932
230	5.616540954
231	5.610927866
232	5.604278957
233	5.602544514
234	5.59788989
235	5.595738611
236	5.585270962
237	5.581115882
238	5.577791906
239	5.574409273
240	5.570908772
241	5.565394991
242	5.559976052
243	5.55483665
244	5.552674644
245	5.552031971
246	5.55187056
247	5.551213706
248	5.549666242
249	5.548115994
250	5.544295921
251	5.537733631
252	5.536140612
253	5.527248619
254	5.522729377
255	5.520965137
256	5.520463001
257	5.509022048
258	5.504591918
259	5.498471855
260	5.496409469
261	5.490889618
262	5.488373132
263	5.480369352
264	5.479180537
265	5.475534605
266	5.468400809
267	5.458346782
268	5.453291742
269	5.449961225
270	5.445974412
271	5.441847935
272	5.436979277
273	5.435541558
274	5.435089808
275	5.428992797
276	5.427042701
277	5.423559135
278	5.422965732
279	5.414410675
280	5.410915981
281	5.409658109
282	5.406195492
283	5.404200538
284	5.400063404
285	5.399152148
286	5.393798614
287	5.393422472
288	5.389275826
289	5.383474018
290	5.373957786
291	5.365248295
292	5.361896159
293	5.352794364
294	5.348089397
295	5.341953259
296	5.337808733
297	5.337560165
298	5.335720017
299	5.330115528
300	5.326790004
301	5.324865482
302	5.323039153
303	5.322134431
304	5.307985551
305	5.299105282
306	5.291757675
307	5.283694383
308	5.283278167
309	5.282608192
310	5.281079582
311	5.279476583
312	5.275666464
313	5.27523769
314	5.273863576
315	5.268063011
316	5.266887189
317	5.261823558
318	5.257471241
319	5.253391392
320	5.248636576
321	5.248104218
322	5.238003344
323	5.234250311
324	5.231629095
325	5.228882929
326	5.223447947
327	5.222639852
328	5.217785155
329	5.211000043
330	5.197835086
331	5.195956359
332	5.194227857
333	5.193656032
334	5.193234917
335	5.19132427
336	5.190458072
337	5.189763508
338	5.176690114
339	5.176225337
340	5.173572331
341	5.165146202
342	5.160527906
343	5.154822109
344	5.14798121
345	5.141607911
346	5.131449509
347	5.130054899
348	5.119946204
349	5.112369317
350	5.110293151
351	5.100965209
352	5.100495606
353	5.099706493
354	5.087433987
355	5.080084168
356	5.076425088
357	5.072249926
358	5.064093237
359	5.062475398
360	5.062361702
361	5.057242931
362	5.055591118
363	5.047764746
364	5.047064223
365	5.0445546
366	5.041126001
367	5.038059824
368	5.037267399
369	5.035548576
370	5.030392894
371	5.029642673
372	5.027271244
373	5.024773873
374	5.016410001
375	5.008028182
376	5.004436453
377	5.004155567
378	4.998066017
379	4.996871469
380	4.988367262
381	4.983654187
382	4.982372718
383	4.97834342
384	4.974104901
385	4.964633435
386	4.963053945
387	4.95718563
388	4.956531594
389	4.956438109
390	4.953071368
391	4.947372064
392	4.945999404
393	4.938835395
394	4.937852727
395	4.934619338
396	4.933658837
397	4.928963356
398	4.925288065
399	4.923243053
400	4.918170037
401	4.917171729
402	4.909951118
403	4.905013948
404	4.904694938
405	4.900543075
406	4.895223316
407	4.89135731
408	4.884327946
409	4.883030848
410	4.880893252
411	4.880801262
412	4.870751028
413	4.868467907
414	4.860514297
415	4.860422305
416	4.855418447
417	4.851916444
418	4.849504783
419	4.846850505
420	4.8463838
421	4.833032034
422	4.83139662
423	4.83109765
424	4.829716852
425	4.825015227
426	4.823351034
427	4.817559026
428	4.813421647
429	4.803560893
430	4.803253062
431	4.801843861
432	4.799063783
433	4.796621518
434	4.791081182
435	4.790805067
436	4.787655069
437	4.783852468
438	4.779159432
439	4.778886619
440	4.775664898
441	4.771376172
442	4.764875837
443	4.763716858
444	4.759339438
445	4.757997517
446	4.75594894
447	4.752371509
448	4.750610217
449	4.749695429
450	4.745288316
451	4.745158807
452	4.736325135
453	4.735711638
454	4.732150655
455	4.730025501
456	4.728772563
457	4.725847827
458	4.718615738
459	4.717367483
460	4.714338934
461	4.713140169
462	4.711807757
463	4.707974665
464	4.704359765
465	4.700946192
466	4.700708352
467	4.696698443
468	4.690153753
