iter	Passed	Remaining
0	21	21732
1	36	18318
2	64	21280
3	96	24125
4	131	26260
5	157	26101
6	190	27005
7	216	26878
8	252	27818
9	279	27683
10	320	28832
11	348	28667
12	373	28342
13	418	29493
14	444	29202
15	472	29054
16	497	28786
17	525	28669
18	551	28487
19	580	28460
20	607	28319
21	634	28203
22	661	28103
23	695	28301
24	710	27724
25	737	27637
26	764	27564
27	791	27479
28	818	27399
29	843	27283
30	872	27287
31	903	27345
32	931	27310
33	959	27274
34	991	27343
35	1022	27377
36	1065	27721
37	1095	27724
38	1140	28092
39	1165	27974
40	1192	27899
41	1223	27915
42	1250	27822
43	1278	27787
44	1308	27777
45	1336	27711
46	1364	27661
47	1391	27590
48	1418	27533
49	1445	27458
50	1471	27374
51	1496	27291
52	1518	27127
53	1545	27079
54	1575	27073
55	1602	27015
56	1628	26936
57	1656	26908
58	1682	26826
59	1708	26760
60	1734	26696
61	1760	26632
62	1787	26582
63	1828	26744
64	1853	26668
65	1880	26615
66	1907	26565
67	1934	26515
68	1961	26467
69	1987	26400
70	2014	26359
71	2039	26292
72	2065	26232
73	2107	26372
74	2135	26341
75	2161	26273
76	2188	26233
77	2214	26179
78	2244	26164
79	2269	26094
80	2299	26088
81	2326	26049
82	2370	26189
83	2395	26126
84	2435	26218
85	2463	26178
86	2489	26127
87	2517	26086
88	2543	26030
89	2592	26215
90	2618	26156
91	2644	26102
92	2670	26046
93	2711	26135
94	2736	26065
95	2762	26010
96	2782	25899
97	2808	25846
98	2834	25796
99	2860	25747
100	2887	25698
101	2915	25665
102	2950	25695
103	2975	25638
104	3002	25596
105	3028	25539
106	3068	25613
107	3105	25646
108	3146	25720
109	3172	25671
110	3215	25751
111	3244	25725
112	3269	25662
113	3310	25726
114	3335	25671
115	3371	25689
116	3385	25552
117	3412	25509
118	3440	25473
119	3468	25432
120	3494	25387
121	3520	25336
122	3547	25290
123	3573	25248
124	3583	25085
125	3609	25038
126	3636	25000
127	3662	24948
128	3690	24915
129	3717	24876
130	3743	24833
131	3769	24788
132	3797	24752
133	3823	24709
134	3849	24666
135	3876	24626
136	3903	24588
137	3932	24561
138	3942	24420
139	3968	24376
140	4010	24432
141	4045	24442
142	4071	24398
143	4098	24366
144	4125	24324
145	4153	24294
146	4185	24287
147	4212	24248
148	4237	24202
149	4262	24154
150	4290	24125
151	4317	24089
152	4344	24050
153	4371	24015
154	4386	23911
155	4412	23872
156	4437	23829
157	4466	23802
158	4508	23846
159	4533	23800
160	4560	23767
161	4594	23768
162	4625	23750
163	4669	23803
164	4698	23778
165	4729	23763
166	4742	23654
167	4775	23648
168	4804	23622
169	4830	23585
170	4856	23544
171	4886	23524
172	4930	23569
173	4974	23616
174	5010	23622
175	5041	23601
176	5083	23635
177	5114	23619
178	5139	23575
179	5167	23542
180	5194	23505
181	5220	23465
182	5247	23427
183	5274	23389
184	5302	23360
185	5329	23323
186	5358	23296
187	5386	23263
188	5412	23225
189	5438	23187
190	5467	23157
191	5498	23137
192	5536	23150
193	5563	23113
194	5590	23077
195	5616	23040
196	5643	23003
197	5669	22963
198	5685	22886
199	5712	22848
200	5739	22816
201	5768	22789
202	5796	22756
203	5824	22726
204	5852	22695
205	5881	22670
206	5911	22645
207	5939	22616
208	5969	22593
209	6002	22580
210	6037	22576
211	6066	22549
212	6096	22526
213	6124	22494
214	6152	22462
215	6179	22430
216	6201	22376
217	6231	22354
218	6258	22317
219	6286	22287
220	6325	22296
221	6369	22320
222	6407	22327
223	6435	22295
224	6463	22263
225	6492	22234
226	6520	22202
227	6546	22166
228	6575	22139
229	6604	22112
230	6640	22106
231	6680	22115
232	6710	22089
233	6725	22016
234	6753	21983
235	6788	21977
236	6819	21954
237	6856	21952
238	6884	21922
239	6911	21887
240	6953	21900
241	6980	21863
242	7009	21835
243	7036	21800
244	7063	21766
245	7089	21731
246	7105	21662
247	7133	21629
248	7159	21592
249	7187	21562
250	7216	21535
251	7265	21567
252	7295	21540
253	7337	21549
